frame,render_ms,update_ms,total_ms,mode
0,0.005207999492995441,53.65020800672937,53.655499999877065,headless
1,0.005708003300242126,54.096459003631026,54.102249996503815,headless
2,0.008041999535635114,53.15374999190681,53.161832998739555,headless
3,0.006083995685912669,52.638082997873425,52.6442499976838,headless
4,0.005582987796515226,52.42095798894297,52.42658298811875,headless
5,0.005416004569269717,52.720749998115934,52.726166002685204,headless
6,0.00695799826644361,53.53108300187159,53.53812500834465,headless
7,0.0066250067902728915,52.72045799938496,52.727125003002584,headless
8,0.00654099858365953,53.15745800908189,53.1640410044929,headless
9,0.00883299799170345,52.12937500618864,52.13825000100769,headless
10,0.004542001988738775,52.599250004277565,52.6038329990115,headless
11,0.005417008651420474,53.55795900686644,53.56341700826306,headless
12,0.005374997272156179,51.797209001961164,51.80262499197852,headless
13,0.0056249991757795215,53.27791700256057,53.28358299448155,headless
14,0.005166992195881903,53.361458994913846,53.36670899123419,headless
15,0.0050000089686363935,52.31933300092351,52.32433300989214,headless
16,0.0062920007621869445,52.668083997559734,52.67445900244638,headless
17,0.005292007699608803,51.60404100024607,51.60937500477303,headless
18,0.006165995728224516,52.87300000782125,52.87920800037682,headless
19,0.004457993782125413,53.382040990982205,53.386540996143594,headless
20,0.005207999492995441,53.003583001554944,53.0088330124272,headless
21,0.005542009603232145,52.90191699168645,52.90745900128968,headless
22,0.005084002623334527,52.686875002109446,52.69199999747798,headless
23,0.005583002348430455,51.977124996483326,51.982707998831756,headless
24,0.0048340007197111845,52.07220900047105,52.07708399393596,headless
25,0.005457986844703555,54.78445799963083,54.7899579978548,headless
26,0.014250006643123925,55.385500003467314,55.39979200693779,headless
27,0.00883299799170345,55.085832995246165,55.09470800461713,headless
28,0.0072499969974160194,55.22345899953507,55.2307500038296,headless
29,0.00462500611320138,55.18404199392535,55.1887089968659,headless
