run,sdl_init_ms,setup_total_ms,land_generation_ms,land_normalization_ms,ant_init_ms,pheromone_init_ms,window_init_ms,renderer_init_ms,iterations,event_poll_ms,advance_time_ms,ants_ms,evaporation_ms,pheromone_update_ms,render_display_ms,blit_ms,loop_ms,delivered_food,run_total_ms
1,0.947,18.08,17.229,0.265,0.039,0.547,0,0,2000,0,2285.75,2063.08,221.197,1.331,0,0,2285.81,0,2304.92
2,0.023,17.924,17.509,0.205,0.029,0.181,0,0,2000,0,2443.64,2200.02,241.992,1.516,0,0,2443.71,0,2461.76
3,0.014,17.295,16.931,0.201,0.029,0.134,0,0,2000,0,2414.14,2180.61,232.046,1.363,0,0,2414.21,0,2431.59
4,0.015,17.766,17.407,0.205,0.03,0.124,0,0,2000,0,2450.1,2210.55,237.975,1.412,0,0,2450.18,0,2468.02
5,0.014,17.891,17.47,0.232,0.03,0.159,0,0,2000,0,2594.35,2330.72,261.685,1.774,0,0,2594.45,0,2612.42
6,0.015,19.686,19.191,0.304,0.032,0.159,0,0,2000,0,2564.48,2302.81,259.878,1.646,0,0,2564.7,0,2584.47
7,0.016,17.963,17.55,0.225,0.03,0.158,0,0,2000,0,2331.88,2111.83,218.661,1.265,0,0,2331.94,0,2349.98
8,0.012,17.858,17.467,0.217,0.031,0.143,0,0,2000,0,2302.08,2087.59,213.193,1.187,0,0,2302.14,0,2320.09
9,0.027,17.382,17.025,0.193,0.032,0.132,0,0,2000,0,2300.07,2085.37,213.376,1.198,0,0,2300.12,0,2317.6
10,0.014,18.444,18.07,0.205,0.032,0.137,0,0,2000,0,2296.88,2082.6,212.933,1.207,0,0,2296.93,0,2315.45
avg,0.1097,18.0289,17.5849,0.2252,0.0314,0.1874,0,0,2000,0,2398.34,2165.52,231.294,1.3899,0,0,2398.42,0,2416.63
